venue_name,title,description,weekday,start_time,end_time,price,currency,restrictions,category,confidence,source_snippet,source_url
Mezzo Market,Special,,Sunday,,,,,,pizza;burgers;drinks;happy_hour,medium,"(function($){ $('body').on('click', '.dfh-163-hamburger-icon', function(){ $(this).find('.et-pb-icon').addClass('active'); $("".dfh-163-menu-row"").toggleClass(""dfh-163-menu""); $("".dfh-163-section"").toggleClass(""dfh-163-menu-section""); }); $(",https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,pizza;burgers;drinks;happy_hour,medium,"(function($){ $('body').on('click', '.dfh-163-hamburger-icon', function(){ $(this).find('.et-pb-icon').addClass('active'); $("".dfh-163-menu-row"").toggleClass(""dfh-163-menu""); $("".dfh-163-section"").toggleClass(""dfh-163-menu-section""); }); $(",https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,pizza;drinks;happy_hour,medium,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,pizza;drinks;happy_hour,low,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,pizza;drinks;happy_hour,low,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,pizza;drinks;happy_hour,low,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,pizza;drinks;happy_hour,low,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,,low,"Savor the Flavors At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,,low,"Savor the Flavors At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,,low,"Savor the Flavors At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our",https://mezzomarketclt.com/menu
