venue_name,street_hint,title,description,weekday,start_time,end_time,price,currency,restrictions,category,confidence,source_snippet,source_url,scrape_allowed
(Unnamed),,Special,,,,,3.49,USD,,tacos;bbq,medium,"The Consumer Advisory: *Consuming raw or undercooked meats, poultry, seafood, shellfish, or eggs may increase the risk of food-borne illness, especially if you have preexisting medical conditions.Munc",https://www.phatburrito.com/charlotte-southend-phat-burrito-food-menu,true
(Unnamed),,Special,,Monday,11:00,21:00,3,USD,,tacos;drinks;happy_hour,high,"SpecialsMonday September 8th Start the week off the right way at Phat Burrito! Try our Monday Burrito of the Day, the California Burrito. And wash it down with $3 Domestic Beer. 11:00 AM - 09:00 PM Tu",https://www.phatburrito.com/charlotte-southend-phat-burrito-happy-hours-specials,true
(Unnamed),,Special,,Thursday,11:00,21:00,5,USD,,drinks;happy_hour,high,Thursday September 11th Join us for Thursday's special at Phat Burrito: Dive into our delicious Phat Wrap Supreme while enjoying our $5 Draft Beer special. It’s the perfect midweek escape to delight y,https://www.phatburrito.com/charlotte-southend-phat-burrito-happy-hours-specials,true
(Unnamed),,Special,,Thursday,,,5,USD,,drinks;happy_hour,high,Join us for Thursday's special at Phat Burrito: Dive into our delicious Phat Wrap Supreme while enjoying our $5 Draft Beer special. It’s the perfect midweek escape to delight your taste buds!,https://www.phatburrito.com/charlotte-southend-phat-burrito-happy-hours-specials,true
(Unnamed),,Special,,Friday,11:00,21:00,7,USD,,tacos,high,Friday September 12th Kick off your weekend with our Friday special at Phat Burrito: Savor the rich flavors of our Birria Tacos paired with a refreshing margarita. Our Phat Margaritas are only $7 on F,https://www.phatburrito.com/charlotte-southend-phat-burrito-happy-hours-specials,true
(Unnamed),,Special,,Friday,,,7,USD,,tacos,high,"Kick off your weekend with our Friday special at Phat Burrito: Savor the rich flavors of our Birria Tacos paired with a refreshing margarita. Our Phat Margaritas are only $7 on Fridays, $10 for a Fish",https://www.phatburrito.com/charlotte-southend-phat-burrito-happy-hours-specials,true
Applebee's,,Special,,Wednesday,,,,,,wings;burgers;drinks;happy_hour,medium,"Charlotte Food Specials Near You at Applebee’s Get new restaurant specials near you from Applebee’s® located at 8700 J. W. Clay, Charlotte, NC 28262. Our specials are year round but for a limited time",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023/specials,true
Applebee's,,Special,,Wednesday,,,,,,wings;burgers;drinks;happy_hour,medium,"Anchorage Food Specials Near You at Applebee’s Get new restaurant specials near you from Applebee’s® located at 4331 Credit Union Drive, Anchorage, AK 99503. Our specials are year round but for a limi",https://restaurants.applebees.com/en-us/ak/anchorage/4331-credit-union-drive-94069/specials,true
Applebee's,,Special,,Wednesday,,,,,,wings;burgers;drinks;happy_hour,medium,"Athens Food Specials Near You at Applebee’s Get new restaurant specials near you from Applebee’s® located at 1331 Hwy. 72 East, Athens, AL 35611. Our specials are year round but for a limited time onl",https://restaurants.applebees.com/en-us/al/athens/1331-hwy.-72-east-95010/specials,true
Applebee's,,Special,,Wednesday,,,,,,wings;burgers;drinks;happy_hour,medium,"Auburn Food Specials Near You at Applebee’s Get new restaurant specials near you from Applebee’s® located at 1627-34 Opelika Road, Auburn, AL 36830. Our specials are year round but for a limited time",https://restaurants.applebees.com/en-us/al/auburn/1627-34-opelika-road-84037/specials,true
Applebee's,,Special,,Wednesday,,,,,,wings;burgers;drinks;happy_hour,medium,"Bessemer Food Specials Near You at Applebee’s Get new restaurant specials near you from Applebee’s® located at 5050 Academy Lane, Bessemer, AL 35022. Our specials are year round but for a limited time",https://restaurants.applebees.com/en-us/al/bessemer/5050-academy-lane-94048/specials,true
Applebee's,,Special,,Wednesday,,,,,,wings;burgers;drinks;happy_hour,medium,"Birmingham Food Specials Near You at Applebee’s Get new restaurant specials near you from Applebee’s® located at 2246 Bessemer Road, Birmingham, AL 35207. Our specials are year round but for a limited",https://restaurants.applebees.com/en-us/al/birmingham/2246-bessemer-road-75096/specials,true
Banh Mi Brothers,,Special,,,,,4.85,USD,,bbq,low,"Our MenuMenuFresh RollsRolled in rice paper with vermicelli noodles, lettuces & herbs (2 rolls)Summer Rolls - Goi Cuo$4.85The classic with shrimp & pork, served with peanut sauce.Crunchy Rolls - Nem N",https://www.banhmibrothers.com/charlotte-university-banh-mi-brothers-food-menu,true
Boardwalk Billy's,,Special,,,,,12.99,USD,,tacos;wings;burgers;bbq;drinks;happy_hour,low,"Our MenuMain MenuStartersCrab con Queso$12.99Billy’s world-famous spicy cheese & crab dip served with fresh tortilla chipsSmoked Chicken Nachos$14.99BBQ smoked chicken thighs, pulled & layered atop cr",https://boardwalkbillys.com/charlotte-uncc-boardwalk-billy-s-food-menu,true
Burtons Grill & Bar of Charlotte,,Happy Hour,,Monday,15:00,18:00,,,,drinks;happy_hour,high,"All News » News » Join Us for Happy Hour – CT, FL, MD, NH, PA, SC, VA <img decoding=""async"" width=""493"" height=""500"" src=""https://burtonsgrill.com/wp-content/uploads/2023/10/Burtons-Grill-B-Logo.png""",https://burtonsgrill.com/happyhour,true
Cajun Queen,,Special,,,,,11.95,USD,,bbq;drinks;happy_hour,low,"Our MenuDinnerAppetizerBBQ Shrimp$11.95/Small$17.95/LargeNew Orleans BBQ shrimp (SMALL Order is approximately 5, depending on size) are sautéed to perfection in: butter, garlic, beer, and a variety of",https://cajunqueen.com/charlotte-elizabeth-cajun-queen-food-menu,true
Cajun Queen,,Brunch,,,11:00,14:00,,,,brunch,medium,SpecialsSunday September 7th Brunch 11am - 2pm 11:00 AM - 02:00 PM,https://cajunqueen.com/charlotte-elizabeth-cajun-queen-happy-hours-specials,true
Cajun Queen,,Brunch,,Sunday,11:00,14:00,,,,brunch,high,Sunday September 7th Brunch 11am - 2pm 11:00 AM - 02:00 PM,https://cajunqueen.com/charlotte-elizabeth-cajun-queen-happy-hours-specials,true
