venue_name,street,neighborhood_hint,website,scrape_allowed,robots_url,google_maps,search_query,note
The Exchange,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Exchange%20%20Charlotte%20NC,"The Exchange  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Seoul Food Meat Co. - Mill District,421 East 26th Street,28205,,,,https://www.google.com/maps/search/?api=1&query=Seoul%20Food%20Meat%20Co.%20-%20Mill%20District%20421%20East%2026th%20Street%20Charlotte%20NC,"Seoul Food Meat Co. - Mill District 421 East 26th Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Must Be Nice,,,,,,https://www.google.com/maps/search/?api=1&query=Must%20Be%20Nice%20%20Charlotte%20NC,"Must Be Nice  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Red Clay Ciderworks,,,https://www.redclayciderworks.com,false,https://www.redclayciderworks.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Red%20Clay%20Ciderworks%20%20Charlotte%20NC,"Red Clay Ciderworks  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
State of Confusion,,,https://www.confusionloso.com,false,https://www.confusionloso.com/robots.txt,https://www.google.com/maps/search/?api=1&query=State%20of%20Confusion%20%20Charlotte%20NC,"State of Confusion  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Weathered Souls,,,https://weatheredsouls.beer/clt,,https://weatheredsouls.beer/robots.txt,https://www.google.com/maps/search/?api=1&query=Weathered%20Souls%20%20Charlotte%20NC,"Weathered Souls  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Trolley Barn Fermentory & Food Hall,2104 South Boulevard,28203,https://www.trolleybarnclt.com,,https://www.trolleybarnclt.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Trolley%20Barn%20Fermentory%20%26%20Food%20Hall%202104%20South%20Boulevard%20Charlotte%20NC,"Trolley Barn Fermentory & Food Hall 2104 South Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Fuel Pizza,14145 Rivergate Parkway,28273,http://www.fuelpizza.com/,,,https://www.google.com/maps/search/?api=1&query=Fuel%20Pizza%201501%20Central%20Avenue%20Charlotte%20NC,"Fuel Pizza 1501 Central Avenue Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Chick-fil-A,14111 Rivergate Parkway,28273,https://www.chick-fil-a.com/locations/nc/rivergate-parkway,false,https://www.chick-fil-a.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Chick-fil-A%20101%20South%20Tryon%20Street%20Charlotte%20NC,"Chick-fil-A 101 South Tryon Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
O'Charley's,,,,,,https://www.google.com/maps/search/?api=1&query=O'Charley's%20%20Charlotte%20NC,"O'Charley's  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
