venue_name,street_hint,title,description,weekday,start_time,end_time,price,currency,restrictions,category,confidence,source_snippet,source_url,scrape_allowed
(Unnamed),3543 Dewitt Lane,Special,,,,,,,,,low,Menu Drinks Specials Order EVENTS Catering Jobs Go to topFacebook pageInstagram pageYelp page,https://www.phatburrito.com/,true
(Unnamed),3543 Dewitt Lane,Special,,,,,,,,,low,Toggle navigationFacebook pageInstagram pageYelp page Menu Drinks Specials Order EVENTS Catering Jobs,https://www.phatburrito.com/,true
(Unnamed),3543 Dewitt Lane,Special,,,,,,,,,low,Menu Drinks Specials Order EVENTS Catering Jobs,https://www.phatburrito.com/,true
Alexander Michael's,401 West 9th Street,Special,,TUESDAY,11:00,15:00,,,,,low,Alexander Michael's has always been 1st come / 1st served and does not take reservations.Please note that on weekend nights the entire party must be present before being seated due to our limited space. Thank YouWE ARE CURRENTLY OPEN TUESDA,https://almikestavern.com/,true
Alexander Michael's,401 West 9th Street,Special,,TUESDAY,11:00,15:00,,,,,low,Alexander Michael's has always been 1st come / 1st served and does not take reservations.Please note that on weekend nights the entire party must be present before being seated due to our limited space. Thank YouWE ARE CURRENTLY OPEN TUESDA,https://almikestavern.com/,true
Alpha Omega Grill & Pizzeria,11524 North Tryon Street,Special,,,,,,,,,low,Menu Drinks Specials Events Order Parties Catering Jobs Hours Gallery Facebook pageInstagram pageYelp page,https://alphaomegagrill.com/,true
Alpha Omega Grill & Pizzeria,11524 North Tryon Street,Special,,,,,,,,,low,Toggle navigationFacebook pageInstagram pageYelp page Menu Drinks Specials Events Order Parties Catering Jobs Hours Gallery,https://alphaomegagrill.com/,true
Alpha Omega Grill & Pizzeria,11524 North Tryon Street,Special,,,,,,,,,low,Menu Drinks Specials Events Order Parties Catering Jobs Hours Gallery,https://alphaomegagrill.com/,true
Alpha Omega Grill & Pizzeria,11524 North Tryon Street,Special,,,13:00,08:00,,,,,low,"Location11524 North Tryon StreetCharlotte, NC28262HoursSunday: 1:00 PM-8:00 PMMonday: 11:00 AM-9:00 PMTuesday: CLOSEDWednesday: 11:00 AM-9:00 PMThursday: 11:00 AM-9:00 PMFriday: 11:00 AM- 10:00 PMSaturday: 11:00 AM- 10:00 PMFind us on...Fac",https://alphaomegagrill.com/,true
Alpha Omega Grill & Pizzeria,11524 North Tryon Street,Special,,,13:00,08:00,,,,,low,HoursSunday: 1:00 PM-8:00 PMMonday: 11:00 AM-9:00 PMTuesday: CLOSEDWednesday: 11:00 AM-9:00 PMThursday: 11:00 AM-9:00 PMFriday: 11:00 AM- 10:00 PMSaturday: 11:00 AM- 10:00 PM,https://alphaomegagrill.com/,true
Applebee's,8700 J W Clay Boulevard,Happy Hour,,Sunday,11:00,23:00,15,USD,,burgers;drinks;happy_hour,medium,"Locations / North Carolina / Charlotte / 8700 J. W. Clay Applebee's Charlotte 8700 J. W. Clay, Charlotte, NC 28262 (704) 548-9219 Start Order Get Directions Restaurant Hours Mon 11:00am - 11:00pm Tue 11:00am - 11:00pm Wed 11:00am - 11:00pm ",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,true
Applebee's,8700 J W Clay Boulevard,Special,,Sunday,11:00,23:00,,,,,low,"Restaurant Hours Mon 11:00am - 11:00pm Tue 11:00am - 11:00pm Wed 11:00am - 11:00pm Thu 11:00am - 11:00pm Fri 11:00am - 11:00pm Sat 11:00am - 11:00pm Sun 11:00am - 11:00pm if(typeof window.hours[""5533""] == 'undefined') window.hours[""5533""] =",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,true
Applebee's,8700 J W Clay Boulevard,Special,,Sunday,11:00,23:00,,,,,low,"Restaurant Hours Mon 11:00am - 11:00pm Tue 11:00am - 11:00pm Wed 11:00am - 11:00pm Thu 11:00am - 11:00pm Fri 11:00am - 11:00pm Sat 11:00am - 11:00pm Sun 11:00am - 11:00pm if(typeof window.hours[""5533""] == 'undefined') window.hours[""5533""] =",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,true
Applebee's,8700 J W Clay Boulevard,Special,,Sunday,11:00,23:00,,,,,low,"Mon 11:00am - 11:00pm Tue 11:00am - 11:00pm Wed 11:00am - 11:00pm Thu 11:00am - 11:00pm Fri 11:00am - 11:00pm Sat 11:00am - 11:00pm Sun 11:00am - 11:00pm if(typeof window.hours[""5533""] == 'undefined') window.hours[""5533""] = {}; window.hours",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,true
Applebee's,8700 J W Clay Boulevard,Happy Hour,,,,,15,USD,,burgers;drinks;happy_hour,medium,"What to Expect at Our Applebee's Restaurant in Charlotte Make Applebee's at 8700 J. W. Clay in Charlotte your neighborhood bar and grill. Whether you're looking for affordable lunch specials with co-workers, or in the mood for a delicious d",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,true
Banh Mi Brothers,230 East W T Harris Boulevard,Special,,,,,,,,,low,Toggle navigationFacebook pageInstagram page Menu Drinks Specials Catering Order Events Parties Gift Cards Press,https://www.banhmibrothers.com/,true
Banh Mi Brothers,230 East W T Harris Boulevard,Special,,,,,,,,,low,Menu Drinks Specials Catering Order Events Parties Gift Cards Press,https://www.banhmibrothers.com/,true
Burtons Grill & Bar of Charlotte,1601 East Woodlawn Road,Happy Hour,,,,,,,,drinks;happy_hour,low,"<img width=""1200"" height=""1200"" src=""https://burtonsgrill.com/wp-content/uploads/2023/04/Cocktails-at-Burtons-Grill-BocaRaton.jpg"" class=""wp-block-cover__image-background wp-post-image"" alt=""A selection of different colored cocktails with f",https://burtonsgrill.com/happyhour,true
Burtons Grill & Bar of Charlotte,1601 East Woodlawn Road,Happy Hour,,,,,,,,drinks;happy_hour,low,"Ongoing Join Us for Happy Hour – CT, FL, MD, NH, PA, SC, VA",https://burtonsgrill.com/happyhour,true
Burtons Grill & Bar of Charlotte,1601 East Woodlawn Road,Happy Hour,,,,,,,,drinks;happy_hour,low,"Join Us for Happy Hour – CT, FL, MD, NH, PA, SC, VA",https://burtonsgrill.com/happyhour,true
Burtons Grill & Bar of Charlotte,1601 East Woodlawn Road,Happy Hour,,Monday,15:00,18:00,,,,drinks;happy_hour,medium,"All News » News » Join Us for Happy Hour – CT, FL, MD, NH, PA, SC, VA <img decoding=""async"" width=""493"" height=""500"" src=""https://burtonsgrill.com/wp-content/uploads/2023/10/Burtons-Grill-B-Logo.png"" alt class=""wp-image-2834"" style=""aspect-",https://burtonsgrill.com/happyhour,true
Burtons Grill & Bar of Charlotte,1601 East Woodlawn Road,Happy Hour,,,,,,,,drinks;happy_hour,low,"All News » News » Join Us for Happy Hour – CT, FL, MD, NH, PA, SC, VA",https://burtonsgrill.com/happyhour,true
Cajun Queen,,Special,,,,,,,,bbq,low,"(704)-377-9017timfreer@gmail.com 1800 E 7th St , Charlotte Menu Specials Order Reserve Parties Catering Jobs Gift Cards BBQ Shrimp recipe Twitter pageFacebook pageInstagram pageYelp page",https://cajunqueen.com/,true
