venue_name,street_hint,title,description,weekday,start_time,end_time,price,currency,restrictions,category,confidence,source_snippet,source_url,scrape_allowed
Alpha Omega Grill & Pizzeria,11524 North Tryon Street,Special,,,13:00,08:00,,,,,low,"Location11524 North Tryon StreetCharlotte, NC28262HoursSunday: 1:00 PM-8:00 PMMonday: 11:00 AM-9:00 PMTuesday: CLOSEDWednesday: 11:00 AM-9:00 PMThursday: 11:00 AM-9:00 PMFriday: 11:00 AM- 10:00 PMSaturday: 11:00 AM- 10:00 PMFind us on...Fac",https://alphaomegagrill.com/,true
Applebee's,8700 J W Clay Boulevard,Happy Hour,,Sunday,11:00,23:00,15,USD,,burgers;drinks;happy_hour,low,"Locations / North Carolina / Charlotte / 8700 J. W. Clay Applebee's Charlotte 8700 J. W. Clay, Charlotte, NC 28262 (704) 548-9219 Start Order Get Directions Restaurant Hours Mon 11:00am - 11:00pm Tue 11:00am - 11:00pm Wed 11:00am - 11:00pm",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,true
Applebee's,8700 J W Clay Boulevard,Special,,Sunday,11:00,23:00,,,,,low,"Restaurant Hours Mon 11:00am - 11:00pm Tue 11:00am - 11:00pm Wed 11:00am - 11:00pm Thu 11:00am - 11:00pm Fri 11:00am - 11:00pm Sat 11:00am - 11:00pm Sun 11:00am - 11:00pm if(typeof window.hours[""5533""] == 'undefined') window.hours[""5533""] =",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,true
Applebee's,8700 J W Clay Boulevard,Happy Hour,,,,,15,USD,,burgers;drinks;happy_hour,medium,"What to Expect at Our Applebee's Restaurant in Charlotte Make Applebee's at 8700 J. W. Clay in Charlotte your neighborhood bar and grill. Whether you're looking for affordable lunch specials with co-workers, or in the mood for a delicious d",https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,true
Burtons Grill & Bar of Charlotte,1601 East Woodlawn Road,Happy Hour,,Monday,15:00,18:00,,,,drinks;happy_hour,high,"All News » News » Join Us for Happy Hour – CT, FL, MD, NH, PA, SC, VA <img decoding=""async"" width=""493"" height=""500"" src=""https://burtonsgrill.com/wp-content/uploads/2023/10/Burtons-Grill-B-Logo.png"" alt class=""wp-image-2834"" style=""aspect-",https://burtonsgrill.com/happyhour,true
Cheat's Cheesesteaks,913 Pecan Avenue,Special,,Monday,,,,,,,low,Making Mondays Better Half Price Large Chicken Cheesesteaks Every Monday! Order Now,https://cheatscheesesteaks.com/,true
Cheat's Cheesesteaks,913 Pecan Avenue,Special,,Tuesday,,,,,,,medium,🏈 Who’s ready for football season and Cheats It’s Tuesday which means we have a great deal! N Happy Labor Day! We’re open until 9 PM—and it This long holiday weekend let Cheat’s do all the Cheat’s on Instagram,https://cheatscheesesteaks.com/,true
Culver's,7031 University City Boulevard,Special,,Sunday,,,,,,,low,"Restaurant CalendarUpcoming FeaturesView Entire MonthToday - Sunday, September 07Flavor of the Day:Caramel CashewAdd to CalendarCulver's of Charlotte, NC - University City Blvd Sunday, September 07Soups: George's® Chili, George's® Chili Sup",https://www.culvers.com/restaurants/charlotte-nc-university-city-blvd,true
Da Vinci's Pizza,5700 University Pointe Boulevard,Special,,Monday,00:00,06:00,,,,,low,"Davis Lake ONLINE ORDER University ONLINE ORDER Enjoy delivery orders up to 9:00 pm Monday-Saturday, and 8:00 pm on Sundays. .highend_68bd431a96612{background-color: #386030;margin-bottom:-50px !important;}.highend_68bd431a96612:before,.hig",https://davincispizza.me/,true
Da Vinci's Pizza,5700 University Pointe Boulevard,Special,,Monday,,,,,,,low,"Davis Lake ONLINE ORDER University ONLINE ORDER Enjoy delivery orders up to 9:00 pm Monday-Saturday, and 8:00 pm on Sundays.",https://davincispizza.me/,true
Dave's Hot Chicken,1300 The Plaza,Special,,Monday,11:00,22:00,,,,,low,RESTAURANT HOURS Monday 11:00am - 10:00pm Tuesday 11:00am - 10:00pm Wednesday 11:00am - 10:00pm Thursday 11:00am - 10:00pm Friday 11:00am - 11:00pm Saturday 11:00am - 11:00pm Sunday 11:00am - 9:00pm RESTAURANT AMENITIES TakeoutWifiLate Nigh,https://www.daveshotchicken.com/location/charlotte-nc-plaza-midwood/,true
Dave's Hot Chicken,1300 The Plaza,Special,,Tuesday,11:00,22:00,,,,,low,Tuesday 11:00am - 10:00pm,https://www.daveshotchicken.com/location/charlotte-nc-plaza-midwood/,true
