venue_name,street,city,region,postal_code,website,instagram,facebook,google_maps,search_query,robots_url,scrape_allowed,notes
(Unnamed),West Morehead Street,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=(Unnamed)%20West%20Morehead%20Street%20Charlotte%20NC,"(Unnamed) West Morehead Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
(Unnamed),,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=(Unnamed)%20%20Charlotte%20NC,"(Unnamed)  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
(Unnamed),Southside Drive,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=(Unnamed)%20Southside%20Drive%20Charlotte%20NC,"(Unnamed) Southside Drive Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
(Unnamed),10920 Winds Crossing Drive,Charlotte,NC,28273,,,,https://www.google.com/maps/search/?api=1&query=(Unnamed)%2010920%20Winds%20Crossing%20Drive%20Charlotte%20NC,"(Unnamed) 10920 Winds Crossing Drive Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
(Unnamed),9311 J W Clay Boulevard,Charlotte,NC,28262,,,,https://www.google.com/maps/search/?api=1&query=(Unnamed)%209311%20J%20W%20Clay%20Boulevard%20Charlotte%20NC,"(Unnamed) 9311 J W Clay Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
(Unnamed),5920 Prosperity Church Road,Charlotte,NC,28269,,,,https://www.google.com/maps/search/?api=1&query=(Unnamed)%205920%20Prosperity%20Church%20Road%20Charlotte%20NC,"(Unnamed) 5920 Prosperity Church Road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
(Unnamed),3543 Dewitt Lane,Charlotte,NC,28217,https://www.phatburrito.com/,,,https://www.google.com/maps/search/?api=1&query=(Unnamed)%203543%20Dewitt%20Lane%20Charlotte%20NC,"(Unnamed) 3543 Dewitt Lane Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.phatburrito.com/robots.txt,true,
& Coffee,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=%26%20Coffee%20%20Charlotte%20NC,"& Coffee  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
1897 Market,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=1897%20Market%20%20Charlotte%20NC,"1897 Market  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
1900 Mexican,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=1900%20Mexican%20%20Charlotte%20NC,"1900 Mexican  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
